,Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units, 
0,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store, 2010",LACCESS_POP10,CNTY10,Count,
1,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store, 2015",LACCESS_POP15,CNTY10,Count,
2,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (% change), 2010 -15",PCH_LACCESS_POP_10_15,CNTY10,% change,
3,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2010",PCT_LACCESS_POP10,CNTY10,Percent,
4,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2015",PCT_LACCESS_POP15,CNTY10,Percent,
5,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store, 2010",LACCESS_LOWI10,CNTY10,Count,
6,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store, 2015",LACCESS_LOWI15,CNTY10,Count,
7,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (% change), 2010 - 15",PCH_LACCESS_LOWI_10_15,CNTY10,% change,
8,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2010",PCT_LACCESS_LOWI10,CNTY10,Percent,
9,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2015",PCT_LACCESS_LOWI15,CNTY10,Percent,
10,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2010",LACCESS_HHNV10,CNTY10,Count,
11,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2015",LACCESS_HHNV15,CNTY10,Count,
12,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (% change), 2010 - 15",PCH_LACCESS_HHNV_10_15,CNTY10,% change,
13,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2010",PCT_LACCESS_HHNV10,CNTY10,Percent,
14,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2015",PCT_LACCESS_HHNV15,CNTY10,Percent,
15,Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store, 2015",LACCESS_SNAP15,CNTY10,Count,
16,Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store (%), 2015",PCT_LACCESS_SNAP15,CNTY10,Percent,
17,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store, 2010",LACCESS_CHILD10,CNTY10,Count,
18,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store, 2015",LACCESS_CHILD15,CNTY10,Count,
19,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (% change), 2010 - 15",PCH_LACCESS_CHILD_10_15,CNTY10,% change,
20,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2010",PCT_LACCESS_CHILD10,CNTY10,Percent,
21,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2015",PCT_LACCESS_CHILD15,CNTY10,Percent,
22,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store, 2010",LACCESS_SENIORS10,CNTY10,Count,
23,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store, 2015",LACCESS_SENIORS15,CNTY10,Count,
24,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (% change), 2010 -15",PCH_LACCESS_SENIORS_10_15,CNTY10,% change,
25,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2010",PCT_LACCESS_SENIORS10,CNTY10,Percent,
26,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2015",PCT_LACCESS_SENIORS15,CNTY10,Percent,
27,Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store, 2015",LACCESS_WHITE15,CNTY10,Count,
28,Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store (%), 2015",PCT_LACCESS_WHITE15,CNTY10,Percent,
29,Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store, 2015",LACCESS_BLACK15,CNTY10,Count,
30,Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store (%), 2015",PCT_LACCESS_BLACK15,CNTY10,Percent,
31,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store, 2015",LACCESS_HISP15,CNTY10,Count,
32,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store (%), 2015",PCT_LACCESS_HISP15,CNTY10,Percent,
33,Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store, 2015",LACCESS_NHASIAN15,CNTY10,Count,
34,Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store (%), 2015",PCT_LACCESS_NHASIAN15,CNTY10,Percent,
35,Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store, 2015",LACCESS_NHNA15,CNTY10,Count,
36,Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store (%), 2015",PCT_LACCESS_NHNA15,CNTY10,Percent,
37,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store, 2015",LACCESS_NHPI15,CNTY10,Count,
38,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store (%), 2015",PCT_LACCESS_NHPI15,CNTY10,Percent,
39,Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store, 2015",LACCESS_MULTIR15,CNTY10,Count,
40,Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store (%), 2015",PCT_LACCESS_MULTIR15,CNTY10,Percent,
41,Store Availability,STORES,Grocery,"Grocery stores, 2009",GROC09,CNTY10,Count,
42,Store Availability,STORES,Grocery,"Grocery stores, 2014",GROC14,CNTY10,Count,
43,Store Availability,STORES,Grocery,"Grocery stores (% change), 2009-14",PCH_GROC_09_14,CNTY10,% change,
44,Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2009",GROCPTH09,CNTY10,"# per 1,000 pop",
45,Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2014",GROCPTH14,CNTY10,"# per 1,000 pop",
46,Store Availability,STORES,Grocery,"Grocery stores/1,000 pop (% change), 2009-14",PCH_GROCPTH_09_14,CNTY10,% change,
47,Store Availability,STORES,Supercenters,"Supercenters & club stores, 2009",SUPERC09,CNTY10,Count,
48,Store Availability,STORES,Supercenters,"Supercenters & club stores, 2014",SUPERC14,CNTY10,Count,
49,Store Availability,STORES,Supercenters,"Supercenters & club stores (% change), 2009-14",PCH_SUPERC_09_14,CNTY10,% change,
50,Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2009",SUPERCPTH09,CNTY10,"# per 1,000 pop",
51,Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2014",SUPERCPTH14,CNTY10,"# per 1,000 pop",
52,Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop (% change), 2007-14",PCH_SUPERCPTH_09_14,CNTY10,% change,
53,Store Availability,STORES,Convenience,"Convenience stores, 2009",CONVS09,CNTY10,Count,
54,Store Availability,STORES,Convenience,"Convenience stores, 2014",CONVS14,CNTY10,Count,
55,Store Availability,STORES,Convenience,"Convenience stores (% change), 2009-14",PCH_CONVS_09_14,CNTY10,% change,
56,Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2009",CONVSPTH09,CNTY10,"# per 1,000 pop",
57,Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2014",CONVSPTH14,CNTY10,"# per 1,000 pop",
58,Store Availability,STORES,Convenience,"Convenience stores/1,000 pop (% change), 2009-14",PCH_CONVSPTH_09_14,CNTY10,% change,
59,Store Availability,STORES,Specialized,"Specialized food stores, 2009",SPECS09,CNTY10,Count,
60,Store Availability,STORES,Specialized,"Specialized food stores, 2014",SPECS14,CNTY10,Count,
61,Store Availability,STORES,Specialized,"Specialized food stores (% change), 2009-14",PCH_SPECS_09_14,CNTY10,% change,
62,Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2009",SPECSPTH09,CNTY10,"# per 1,000 pop",
63,Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2014",SPECSPTH14,CNTY10,"# per 1,000 pop",
64,Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop (% change), 2009-14",PCH_SPECSPTH_09_14,CNTY10,% change,
65,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores, 2012",SNAPS12,CNTY10,Count,
66,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores, 2016",SNAPS16,CNTY10,Count,
67,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores (% change), 2012-16",PCH_SNAPS_12_16,CNTY10,% change,
68,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2012",SNAPSPTH12,CNTY10,"# per 1,000 pop",
69,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2016",SNAPSPTH16,CNTY10,"# per 1,000 pop",
70,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop (% change), 2012-16",PCH_SNAPSPTH_12_16,CNTY10,% change,
71,Store Availability,STORES,WIC-authorized,"WIC-authorized stores, 2008",WICS08,CNTY10,Count,
72,Store Availability,STORES,WIC-authorized,"WIC-authorized stores, 2012",WICS12,CNTY10,Count,
73,Store Availability,STORES,WIC-authorized,"WIC-authorized stores (% change), 2008-12",PCH_WICS_08_12,CNTY10,% change,
74,Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2008",WICSPTH08,CNTY10,"# per 1,000 pop",
75,Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2012",WICSPTH12,CNTY10,"# per 1,000 pop",
76,Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop (% change), 2008-12",PCH_WICSPTH_08_12,CNTY10,% change,
77,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants, 2009",FFR09,CNTY10,Count,
78,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants, 2014",FFR14,CNTY10,Count,
79,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants (% change), 2009-14",PCH_FFR_09_14,CNTY10,% change,
80,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2009",FFRPTH09,CNTY10,"# per 1,000 pop",
81,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2014",FFRPTH14,CNTY10,"# per 1,000 pop",
82,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop (% change), 2009-14",PCH_FFRPTH_09_14,CNTY10,% change,
83,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants, 2009",FSR09,CNTY10,Count,
84,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants, 2014",FSR14,CNTY10,Count,
85,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants (% change), 2009-14",PCH_FSR_09_14,CNTY10,% change,
86,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2009",FSRPTH09,CNTY10,Count,
87,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2014",FSRPTH14,CNTY10,Count,
88,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop (% change), 2009-14",PCH_FSRPTH_09_14,CNTY10,% change,
89,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2007*",PC_FFRSALES07,CNTY10,Dollars,
90,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2012*",PC_FFRSALES12,CNTY10,Dollars,
91,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2007*",PC_FSRSALES07,CNTY10,Dollars,
92,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2012*",PC_FSRSALES12,CNTY10,Dollars,
93,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2012",REDEMP_SNAPS12,CNTY10,Dollars/store,
94,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2016",REDEMP_SNAPS16,CNTY10,Dollars/store,
95,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores (% change), 2012-16",PCH_REDEMP_SNAPS_12_16,CNTY10,% change,
96,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2012*",PCT_SNAP12,CNTY10,Percent,
97,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2016*",PCT_SNAP16,CNTY10,Percent,
98,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (change % pop), 2012-16*",PCH_SNAP_12_16,CNTY10,Percentage points,
99,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2010",PC_SNAPBEN10,CNTY10,Dollars/capita,
100,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2015",PC_SNAPBEN15,CNTY10,Dollars/capita,
101,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita (% change), 2010-15",PCH_PC_SNAPBEN_10_15,CNTY10,% change,
102,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2008*",SNAP_PART_RATE08,CNTY10,Percent,
103,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2013*",SNAP_PART_RATE13,CNTY10,Percent,
104,Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2009*",SNAP_OAPP09,CNTY10,Classification,
105,Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2016*",SNAP_OAPP16,CNTY10,Classification,
106,Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2009*",SNAP_CAP09,CNTY10,Classification,
107,Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2016*",SNAP_CAP16,CNTY10,Classification,
108,Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2009*",SNAP_BBCE09,CNTY10,Classification,
109,Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2016*",SNAP_BBCE16,CNTY10,Classification,
110,Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2009*",SNAP_REPORTSIMPLE09,CNTY10,Classification,
111,Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2016*",SNAP_REPORTSIMPLE16,CNTY10,Classification,
112,Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (% pop), 2009*",PCT_NSLP09,CNTY10,Percent,
113,Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (% pop), 2015*",PCT_NSLP15,CNTY10,Percent,
114,Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (change % pop), 2009-15*",PCH_NSLP_09_15,CNTY10,Percentage points,
115,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2009",PCT_FREE_LUNCH09,CNTY10,Percent,
116,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2014",PCT_FREE_LUNCH14,CNTY10,Percent,
117,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2009",PCT_REDUCED_LUNCH09,CNTY10,Percent,
118,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2014",PCT_REDUCED_LUNCH14,CNTY10,Percent,
119,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% pop), 2009*",PCT_SBP09,CNTY10,Percent,
120,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% pop), 2015*",PCT_SBP15,CNTY10,Percent,
121,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (change % pop), 2009-15*",PCH_SBP_09_15,CNTY10,Percentage points,
122,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% pop), 2009*",PCT_SFSP09,CNTY10,Percent,
123,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% pop), 2015*",PCT_SFSP15,CNTY10,Percent,
124,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Program participants (change % pop), 2009-15*",PCH_SFSP_09_15,CNTY10,Percentage points,
125,Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita, 2008",PC_WIC_REDEMP08,CNTY10,Dollars/capita,
126,Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita, 2012",PC_WIC_REDEMP12,CNTY10,Dollars/capita,
127,Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita (% change), 2008-12",PCH_PC_WIC_REDEMP_08_12,CNTY10,% change,
128,Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores, 2008",REDEMP_WICS08,CNTY10,Dollars/store,
129,Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores, 2012",REDEMP_WICS12,CNTY10,Dollars/store,
130,Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores (% change), 2008-12",PCH_REDEMP_WICS_08_12,CNTY10,% change,
131,Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2009*",PCT_WIC09,CNTY10,Percent,
132,Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2015*",PCT_WIC15,CNTY10,Percent,
133,Food Assistance,ASSISTANCE,WIC,"WIC participants (change % pop), 2009-15*",PCH_WIC_09_15,CNTY10,Percentage points,
134,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2009*",PCT_CACFP09,CNTY10,Percent,
135,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2015*",PCT_CACFP15,CNTY10,Percent,
136,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (change % pop), 2009-15*",PCH_CACFP_09_15,CNTY10,Percentage points,
137,Food Assistance,ASSISTANCE,FDPIR,"FDPIR Sites, 2012",FDPIR12,CNTY10,Count,
138,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2010-12*",FOODINSEC_10_12,CNTY10,Percent,
139,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2013-15*",FOODINSEC_13_15,CNTY10,Percent,
140,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (change %),2010-12 to 2013-15*",CH_FOODINSEC_12_15,CNTY10,Percentage points,
141,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2010-12*",VLFOODSEC_10_12,CNTY10,Percent,
142,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2013-15*",VLFOODSEC_13_15,CNTY10,Percent,
143,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (change %),2010-12 to 2013-15*",CH_VLFOODSEC_12_15,CNTY10,Percentage points,
144,Food Insecurity,INSECURITY,State Food Insecurity,"Child food insecurity (% households, multiple-year average), 2001-07*",FOODINSEC_CHILD_01_07,CNTY10,Percent,
145,Food Insecurity,INSECURITY,State Food Insecurity,"Child food insecurity (% households, multiple-year average), 2003-11*",FOODINSEC_CHILD_03_11,CNTY10,Percent,
146,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of low-fat milk/national average, 2010**",MILK_PRICE10,CNTY10,Ratio,
147,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of sodas/national average, 2010**",SODA_PRICE10,CNTY10,Ratio,
148,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of low-fat milk/price of sodas, 2010**",MILK_SODA_PRICE10,CNTY10,Ratio,
149,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, retail stores, 2014*",SODATAX_STORES14,CNTY10,Percent,
150,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, vending, 2014*",SODATAX_VENDM14,CNTY10,Percent,
151,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, retail stores, 2014*",CHIPSTAX_STORES14,CNTY10,Percent,
152,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, vending, 2014*",CHIPSTAX_VENDM14,CNTY10,Percent,
153,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"General food sales tax, retail stores, 2014*",FOOD_TAX14,CNTY10,Percent,
154,Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2007",DIRSALES_FARMS07,CNTY10,Count,
155,Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2012",DIRSALES_FARMS12,CNTY10,Count,
156,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (% change), 2007 - 12",PCH_DIRSALES_FARMS_07_12,CNTY10,% change,
157,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2007",PCT_LOCLFARM07,CNTY10,Percent,
158,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2012",PCT_LOCLFARM12,CNTY10,Percent,
159,Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2007",PCT_LOCLSALE07,CNTY10,Percent,
160,Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2012",PCT_LOCLSALE12,CNTY10,Percent,
161,Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2007",DIRSALES07,CNTY10,"1,000 dollars",
162,Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2012",DIRSALES12,CNTY10,"1,000 dollars",
